"states","years","quarter","district","transaction_count","transaction_amount"
"Andaman & Nicobar",2020,2,"south andaman district","3","795"
"Andaman & Nicobar",2020,2,"nicobars district","3","565"
"Andaman & Nicobar",2020,3,"north and middle andaman district","1","281"
"Andaman & Nicobar",2020,3,"south andaman district","35","13651"
"Andaman & Nicobar",2020,3,"nicobars district","5","1448"
"Andaman & Nicobar",2020,4,"north and middle andaman district","13","17734"
"Andaman & Nicobar",2020,4,"south andaman district","109","137494"
"Andaman & Nicobar",2020,4,"nicobars district","2","2747"
"Andaman & Nicobar",2021,1,"north and middle andaman district","48","63978"
"Andaman & Nicobar",2021,1,"south andaman district","164","167044"
"Andaman & Nicobar",2021,1,"nicobars district","13","13244"
"Andaman & Nicobar",2021,2,"north and middle andaman district","28","45311"
"Andaman & Nicobar",2021,2,"south andaman district","105","121104"
"Andaman & Nicobar",2021,2,"nicobars district","4","15089"
"Andaman & Nicobar",2021,3,"north and middle andaman district","33","50997"
"Andaman & Nicobar",2021,3,"south andaman district","182","223699"
"Andaman & Nicobar",2021,3,"nicobars district","15","30539"
"Andaman & Nicobar",2021,4,"north and middle andaman district","81","182061"
"Andaman & Nicobar",2021,4,"south andaman district","632","800758"
"Andaman & Nicobar",2021,4,"nicobars district","44","73561"
"Andaman & Nicobar",2022,1,"north and middle andaman district","48","85229"
"Andaman & Nicobar",2022,1,"south andaman district","692","982206"
"Andaman & Nicobar",2022,1,"nicobars district","28","63852"
"Andaman & Nicobar",2022,2,"north and middle andaman district","45","90403"
"Andaman & Nicobar",2022,2,"south andaman district","430","633029"
"Andaman & Nicobar",2022,2,"nicobars district","26","56308"
"Andaman & Nicobar",2022,3,"north and middle andaman district","70","129013"
"Andaman & Nicobar",2022,3,"south andaman district","535","687813"
"Andaman & Nicobar",2022,3,"nicobars district","38","85640"
"Andaman & Nicobar",2022,4,"north and middle andaman district","112","224198"
"Andaman & Nicobar",2022,4,"south andaman district","750","1114857"
"Andaman & Nicobar",2022,4,"nicobars district","39","102155"
"Andaman & Nicobar",2023,1,"north and middle andaman district","85","178969"
"Andaman & Nicobar",2023,1,"south andaman district","872","1172083"
"Andaman & Nicobar",2023,1,"nicobars district","47","88146"
"Andaman & Nicobar",2023,2,"north and middle andaman district","56","109742"
