"states","years","quarter","pincodes","transaction_count","transaction_amount"
"Andaman & Nicobar",2020,2,744301,"3","565"
"Andaman & Nicobar",2020,2,744104,"2","513"
"Andaman & Nicobar",2020,2,744101,"1","282"
"Andaman & Nicobar",2020,3,744112,"9","3432"
"Andaman & Nicobar",2020,3,744105,"7","3948"
"Andaman & Nicobar",2020,3,744101,"5","2194"
"Andaman & Nicobar",2020,3,744206,"4","1620"
"Andaman & Nicobar",2020,3,744107,"3","1095"
"Andaman & Nicobar",2020,3,744103,"3","947"
"Andaman & Nicobar",2020,3,744302,"3","562"
"Andaman & Nicobar",2020,3,744211,"2","101"
"Andaman & Nicobar",2020,3,744301,"2","886"
"Andaman & Nicobar",2020,3,744102,"2","314"
"Andaman & Nicobar",2020,4,744105,"25","25659"
"Andaman & Nicobar",2020,4,744101,"23","29686"
"Andaman & Nicobar",2020,4,744103,"18","24904"
"Andaman & Nicobar",2020,4,744102,"17","25073"
"Andaman & Nicobar",2020,4,744112,"8","10459"
"Andaman & Nicobar",2020,4,744106,"6","4840"
"Andaman & Nicobar",2020,4,744204,"6","11659"
"Andaman & Nicobar",2020,4,744104,"4","10271"
"Andaman & Nicobar",2020,4,744206,"3","100"
"Andaman & Nicobar",2020,4,744205,"3","5235"
"Andaman & Nicobar",2021,1,744105,"47","53060"
"Andaman & Nicobar",2021,1,744103,"35","39985"
"Andaman & Nicobar",2021,1,744101,"33","24571"
"Andaman & Nicobar",2021,1,744204,"25","29635"
"Andaman & Nicobar",2021,1,744202,"12","17588"
"Andaman & Nicobar",2021,1,744102,"12","14085"
"Andaman & Nicobar",2021,1,744104,"9","7310"
"Andaman & Nicobar",2021,1,744107,"8","9253"
"Andaman & Nicobar",2021,1,744205,"7","11223"
"Andaman & Nicobar",2021,1,744301,"7","6612"
"Andaman & Nicobar",2021,2,744103,"36","33716"
"Andaman & Nicobar",2021,2,744101,"17","19787"
"Andaman & Nicobar",2021,2,744105,"15","17163"
"Andaman & Nicobar",2021,2,744102,"13","10326"
"Andaman & Nicobar",2021,2,744204,"10","10557"
"Andaman & Nicobar",2021,2,744107,"8","11459"
"Andaman & Nicobar",2021,2,744202,"6","9766"
"Andaman & Nicobar",2021,2,744104,"6","8889"
"Andaman & Nicobar",2021,2,744205,"6","12669"
"Andaman & Nicobar",2021,2,744210,"4","9430"
"Andaman & Nicobar",2021,3,744105,"70","82425"
"Andaman & Nicobar",2021,3,744103,"44","53909"
"Andaman & Nicobar",2021,3,744101,"26","29601"
"Andaman & Nicobar",2021,3,744102,"14","20616"
"Andaman & Nicobar",2021,3,744204,"13","20075"
"Andaman & Nicobar",2021,3,744202,"11","18134"
"Andaman & Nicobar",2021,3,744112,"11","14406"
"Andaman & Nicobar",2021,3,744302,"8","7247"
"Andaman & Nicobar",2021,3,744107,"6","6406"
"Andaman & Nicobar",2021,3,744104,"6","2221"
"Andaman & Nicobar",2021,4,744105,"194","232344"
"Andaman & Nicobar",2021,4,744101,"159","211326"
"Andaman & Nicobar",2021,4,744103,"133","168668"
"Andaman & Nicobar",2021,4,744102,"66","68931"
"Andaman & Nicobar",2021,4,744301,"32","53658"
"Andaman & Nicobar",2021,4,744204,"31","102213"
"Andaman & Nicobar",2021,4,744104,"24","31069"
"Andaman & Nicobar",2021,4,744112,"22","38599"
"Andaman & Nicobar",2021,4,744202,"21","23016"
"Andaman & Nicobar",2021,4,744205,"13","30437"
"Andaman & Nicobar",2022,1,744103,"174","226181"
"Andaman & Nicobar",2022,1,744101,"149","204646"
"Andaman & Nicobar",2022,1,744105,"137","218321"
"Andaman & Nicobar",2022,1,744102,"102","147402"
"Andaman & Nicobar",2022,1,744112,"36","39197"
"Andaman & Nicobar",2022,1,744104,"33","35406"
"Andaman & Nicobar",2022,1,744107,"28","36877"
"Andaman & Nicobar",2022,1,744207,"19","50799"
"Andaman & Nicobar",2022,1,744301,"16","33406"
"Andaman & Nicobar",2022,1,744205,"15","29159"
"Andaman & Nicobar",2022,2,744103,"97","156861"
"Andaman & Nicobar",2022,2,744101,"87","121168"
"Andaman & Nicobar",2022,2,744105,"78","137418"
"Andaman & Nicobar",2022,2,744102,"62","58453"
"Andaman & Nicobar",2022,2,744104,"26","32107"
"Andaman & Nicobar",2022,2,744107,"22","52244"
"Andaman & Nicobar",2022,2,744211,"19","25543"
"Andaman & Nicobar",2022,2,744112,"18","24391"
"Andaman & Nicobar",2022,2,744301,"14","28331"
"Andaman & Nicobar",2022,2,744202,"13","20817"
"Andaman & Nicobar",2022,3,744103,"151","198569"
"Andaman & Nicobar",2022,3,744101,"119","151539"
"Andaman & Nicobar",2022,3,744105,"101","106324"
"Andaman & Nicobar",2022,3,744102,"76","102757"
"Andaman & Nicobar",2022,3,744104,"31","35790"
"Andaman & Nicobar",2022,3,744301,"27","67604"
"Andaman & Nicobar",2022,3,744202,"27","53016"
"Andaman & Nicobar",2022,3,744205,"17","34250"
"Andaman & Nicobar",2022,3,744107,"16","29251"
"Andaman & Nicobar",2022,3,744204,"11","17184"
"Andaman & Nicobar",2022,4,744103,"199","299036"
"Andaman & Nicobar",2022,4,744105,"166","253344"
"Andaman & Nicobar",2022,4,744101,"146","163498"
"Andaman & Nicobar",2022,4,744102,"80","98862"
"Andaman & Nicobar",2022,4,744202,"43","68397"
"Andaman & Nicobar",2022,4,744107,"38","73829"
"Andaman & Nicobar",2022,4,744104,"31","55827"
"Andaman & Nicobar",2022,4,744205,"27","56611"
"Andaman & Nicobar",2022,4,744211,"27","59500"
"Andaman & Nicobar",2022,4,744112,"25","42024"
"Andaman & Nicobar",2023,1,744103,"236","286594"
"Andaman & Nicobar",2023,1,744101,"206","233281"
"Andaman & Nicobar",2023,1,744105,"164","256300"
"Andaman & Nicobar",2023,1,744102,"117","134841"
"Andaman & Nicobar",2023,1,744107,"30","54849"
"Andaman & Nicobar",2023,1,744301,"30","58745"
"Andaman & Nicobar",2023,1,744112,"29","49945"
"Andaman & Nicobar",2023,1,744202,"29","64193"
"Andaman & Nicobar",2023,1,744205,"27","40580"
"Andaman & Nicobar",2023,1,744211,"24","29149"
"Andaman & Nicobar",2023,2,744103,"171","341853"
"Andaman & Nicobar",2023,2,744105,"166","255069"
"Andaman & Nicobar",2023,2,744101,"134","189989"
"Andaman & Nicobar",2023,2,744102,"82","101875"
"Andaman & Nicobar",2023,2,744104,"27","34345"
"Andaman & Nicobar",2023,2,744301,"25","41299"
"Andaman & Nicobar",2023,2,744207,"22","43459"
"Andaman & Nicobar",2023,2,744112,"21","20427"
"Andaman & Nicobar",2023,2,744107,"20","24693"
"Andaman & Nicobar",2023,2,744205,"17","31404"
"Andaman & Nicobar",2023,3,744103,"191","306744"
"Andaman & Nicobar",2023,3,744105,"147","212575"
"Andaman & Nicobar",2023,3,744101,"143","213581"
"Andaman & Nicobar",2023,3,744102,"100","120875"
"Andaman & Nicobar",2023,3,744202,"35","60750"
